"学名","科","中文名","英文名","西班牙文名","法文名","德语名","俄语名","意大利语名","葡萄牙语名","日语名","出现次数","gbif_link","baidu_link"
"Melanitta americana","Anatidae","黑海番鸭","Black Scoter","Negrón americano","Macreuse à bec jaune","Pazifiktrauerente","Американская синьга","Orchetto marino americano","negrola-americana","クロガモ","76","https://www.gbif.org/species/2498250","https://baike.baidu.com/item/黑海番鸭"
"Branta ruficollis","Anatidae","红胸黑雁","Red-breasted Goose","Barnacla cuelliroja","Bernache à cou roux","Rothalsgans","Краснозобая казарка","Oca collorosso","ganso-de-peito-ruivo","アオガン","68","https://www.gbif.org/species/5232451","https://baike.baidu.com/item/红胸黑雁"
"Branta bernicla","Anatidae","黑雁","Brant Goose","Barnacla carinegra","Bernache cravant","Ringelgans","Чёрная казарка","Oca colombaccio","ganso-de-faces-pretas","コクガン","58","https://www.gbif.org/species/5232446","https://baike.baidu.com/item/黑雁"
"Melanitta fusca","Anatidae","丝绒海番鸭","Velvet Scoter","Negrón especulado","Macreuse brune","Samtente","Турпан","Orco marino","negrola-d'asa-branca","ヨーロッパビロードキンクロ","56","https://www.gbif.org/species/2498238","https://baike.baidu.com/item/丝绒海番鸭"
"Histrionicus histrionicus","Anatidae","丑鸭","Harlequin Duck","Pato arlequín","Arlequin plongeur","Kragenente","Каменушка","Moretta arlecchino","pato-arlequim","シノリガモ","46","https://www.gbif.org/species/2498224","https://baike.baidu.com/item/丑鸭"
"Branta leucopsis","Anatidae","白颊黑雁","Barnacle Goose","Barnacla cariblanca","Bernache nonnette","Weißwangengans","Белощёкая казарка","Oca facciabianca","ganso-de-faces-brancas","カオジロガン","29","https://www.gbif.org/species/5232464","https://baike.baidu.com/item/白颊黑雁"
"Branta canadensis","Anatidae","加拿大黑雁","Canada Goose","Barnacla canadiense grande","Bernache du Canada","Kanadagans","Канадская казарка","Oca canadese","ganso-do-canadá","カナダガン","10","https://www.gbif.org/species/5232437","https://baike.baidu.com/item/加拿大黑雁"
"Branta hutchinsii","Anatidae","小美洲黑雁","Cackling Goose","Barnacla canadiense chica","Bernache de Hutchins","Zwergkanadagans","Малая канадская казарка","Oca canadese di Hutchins","ganso-palrador","シジュウカラガン","9","https://www.gbif.org/species/5232452","https://baike.baidu.com/item/小美洲黑雁"
"Sarkidiornis melanotos","Anatidae","瘤鸭","Knob-billed Duck","Pato crestudo afroasiático","Canard à bosse","Glanzente","Гребенчатая утка","Oca dal bernoccolo","pato-de-carúncula-afroasiático","コブガモ","2","https://www.gbif.org/species/2498001","https://baike.baidu.com/item/瘤鸭"
"Mareca americana x penelope","Anatidae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2","https://www.gbif.org/species/10863734",NULL
"Aythya ferina x nyroca","Anatidae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2","https://www.gbif.org/species/9905940",NULL
"Anas luzonica","Anatidae","棕颈鸭","Philippine Duck","Ánade filipino","Canard des Philippines","Philippinenente","Филиппинская кряква","Germano delle Filippine","pato-filipino","アカノドカルガモ","2","https://www.gbif.org/species/2498108","https://baike.baidu.com/item/棕颈鸭"
"Anas carolinensis","Anatidae","美洲绿翅鸭","Green-winged Teal","Cerceta americana","Sarcelle à ailes vertes","Carolinakrickente","Зеленокрылый чирок","Alzavola americana","marrequinha-americana","アメリカコガモ","2","https://www.gbif.org/species/2498125","https://baike.baidu.com/item/美洲绿翅鸭"
"Alopochen aegyptiaca","Anatidae","埃及雁","Egyptian Goose","Ganso del Nilo","Ouette d’Égypte","Nilgans","Нильский гусь","Oca egiziana","ganso-do-egipto","エジプトガン","1","https://www.gbif.org/species/2498252","https://baike.baidu.com/item/埃及雁"
"Aythya collaris","Anatidae","环颈潜鸭","Ring-necked Duck","Porrón acollarado","Fuligule à collier","Ringschnabelente","Кольчатая чернеть","Moretta dal collare","zarro-de-colar","クビワキンクロ","1","https://www.gbif.org/species/2498264","https://baike.baidu.com/item/环颈潜鸭"
"Anser canagicus","Anatidae","帝雁","Emperor Goose","Ánsar emperador","Oie empereur","Kaisergans","Белошей","Oca imperatrice","ganso-imperador","ミカドガン","1","https://www.gbif.org/species/2498163","https://baike.baidu.com/item/帝雁"
"Melanitta perspicillata","Anatidae","斑头海番鸭","Surf Scoter","Negrón careto","Macreuse à front blanc","Brillenente","Пестроносый турпан","Orco marino dagli occhiali","negrola-de-lunetas","アラナミキンクロ","1","https://www.gbif.org/species/2498246","https://baike.baidu.com/item/斑头海番鸭"
